Comment,Designator,Footprint,LCSC
100n,C2,C_0805_2012Metric,C49678
Red,"LED1,LED2,LED3,LED4",LED_0805_2012Metric,C84256
2N7002,"Q1,Q2,Q3,Q4",SOT-23,C8545
330,"R9,R10,R11,R12,R13,R14,R15,R16",R_0805_2012Metric,C17630
100,"R1,R2,R3,R4",R_0805_2012Metric,C17408
10k,"R5,R6,R7,R8",R_0805_2012Metric,C17414
